PY,word,n
2021,quântica,9
2022,quantum,8
2022,quântica,8
2021,física,6
2021,quantum,6
2020,quântica,4
2021,physics,4
2022,ensino,4
2013,ginzburg,3
2013,landau,3
2018,feynman,3
2019,quantum,3
2019,quântica,3
2020,bloom,3
2020,enade,3
2020,quantum,3
2021,ensino,3
2021,mecânica,3
2021,qiskit,3
2022,física,3
2022,mecânica,3
2013,supercondutividade,2
2013,teoria,2
2014,atomic,2
2017,incerteza,2
2018,física,2
2018,memorial,2
2018,physics,2
2019,custo,2
2019,ensino,2
2019,espectroscopia,2
2019,física,2
2019,óptica,2
2020,análise,2
2020,bakhtin,2
2020,física,2
2020,mecânica,2
2020,physics,2
2020,revisada,2
2020,taxonomia,2
2021,abordagem,2
2021,and,2
2021,básica,2
2021,epistemologia,2
2021,epistemology,2
2021,escola,2
2021,experience,2
2021,fontes,2
2021,galilei,2
2021,ibm,2
2021,mechanics,2
2021,médio,2
2021,partículas,2
2021,primárias,2
2021,python,2
2021,school,2
2021,simetrias,2
2021,teoria,2
2022,computação,2
2022,deutsch,2
2022,experience,2
2022,fourier,2
2022,ibm,2
2022,incerteza,2
2022,licenciatura,2
2022,matriz,2
2022,mechanics,2
2022,physics,2
2022,princípio,2
2022,referência,2
2022,teoria,2
2013,100,1
2013,superconductivity,1
2013,theory,1
2014,atômica,1
2014,atômicos,1
2014,bohr,1
2014,ensino,1
2014,física,1
2014,mechanics,1
2014,mecânica,1
2014,modelos,1
2014,models,1
2014,médio,1
2014,physics,1
2014,quantum,1
2014,quântica,1
2014,átomo,1
2017,maccone,1
2017,mechanics,1
2017,mecânica,1
2017,pati,1
2017,quantum,1
2017,quântica,1
2017,relations,1
2017,relações,1
2017,uncertainty,1
2018,brasileiros,1
2018,ensino,1
2018,legado,1
2018,pesquisadores,1
2018,quantum,1
2018,quântica,1
2018,teaching,1
2018,visto,1
2019,algoritmo,1
2019,computação,1
2019,computing,1
2019,conceitos,1
2019,cost,1
2019,deutsch,1
2019,estratégia,1
2019,experimental,1
2019,experimentos,1
2019,experiments,1
2019,interference,1
2019,interferência,1
2019,interferômetro,1
2019,introdução,1
2019,low,1
2019,mach,1
2019,médio,1
2019,optical,1
2019,paralelismo,1
2019,parallelism,1
2019,physics,1
2019,quântico,1
2019,realização,1
2019,simulação,1
2019,spectroscopy,1
2019,teaching,1
2019,zehnder,1
2020,039,1
2020,científica,1
2020,ciência,1
2020,complexidade,1
2020,contributos,1
2020,course,1
2020,didáticos,1
2020,divulgação,1
2020,electrodynamics,1
2020,eletrodinâmica,1
2020,ensino,1
2020,enunciados,1
2020,epistemologia,1
2020,epistemology,1
2020,feynman,1
2020,licenciatura,1
2020,luz,1
2020,mechanics,1
2020,metalinguística,1
2020,p,1
2020,presentes,1
2020,questões,1
2020,realidade,1
2020,revised,1
2020,richard,1
2020,s,1
2020,taxonomy,1
2020,textos,1
2020,undergraduate,1
2020,visões,1
2021,120,1
2021,alfabetização,1
2021,aprendizagem,1
2021,basic,1
2021,campos,1
2021,científica,1
2021,computação,1
2021,conceitual,1
2021,concepções,1
2021,construída,1
2021,contemporary,1
2021,contemporânea,1
2021,didática,1
2021,diffraction,1
2021,difração,1
2021,dualidade,1
2021,eletrodinâmica,1
2021,engagement,1
2021,engajamento,1
2021,epistemológica,1
2021,field,1
2021,graduação,1
2021,group,1
2021,high,1
2021,history,1
2021,história,1
2021,histórica,1
2021,i,1
2021,interference,1
2021,interferência,1
2021,investigações,1
2021,literacy,1
2021,medida,1
2021,modern,1
2021,moderna,1
2021,onda,1
2021,particle,1
2021,partícula,1
2021,primary,1
2021,promoção,1
2021,proposta,1
2021,scientific,1
2021,sources,1
2021,symmetries,1
2021,teaching,1
2021,theory,1
2021,trechos,1
2021,usando,1
2022,abordagem,1
2022,algorithm,1
2022,algoritmo,1
2022,algoritmos,1
2022,computing,1
2022,condução,1
2022,degree,1
2022,diferentes,1
2022,fenomenologia,1
2022,formalismo,1
2022,in,1
2022,information,1
2022,informação,1
2022,instrumento,1
2022,integrando,1
2022,interpretações,1
2022,matemático,1
2022,matrix,1
2022,momentum,1
2022,principle,1
2022,professor,1
2022,proposições,1
2022,qiskit,1
2022,quânticos,1
2022,reference,1
2022,teaching,1
2022,theory,1
2022,transform,1
2022,transformada,1
2022,uncertainty,1
2022,usando,1
