id,UR,TI,PY,KW,ABEN,ABPT
1,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2250-61012022000100021&lang=pt,Dublagem com fins educacionais: uma possibilidade de uso da rede social YouTube para o ensino de ciencias,2022,Science teaching # Educational video # Ensino de ciencias # Vídeo educativo,"Abstract The objective of this article is to present dubbing as a tool for the production of multimedia content for science teaching, as well as to validate an educational video about physics dubbed in this project. The research was carried out between January 2019 and January 2021, with the following steps: search for educational videos about physics on   YouTube channels in English, classification of videos by an expert, contact with channel owners to request permission to use the videos, dubbing of videos, validation of dubbed videos by teachers and high school students. For validation, a five-point Likert scale was used, been considerate validated only items with a Content Validity Index (CVI) greater than 0.78. The dubbed educational video was approved with a global CVI of 0.910 by teachers and 0.858 by students, covering both technical and educational aspects. Thus, the methodology developed throughout the project has proven to be effective for the selection and dubbing of educational videos.","O objetivo deste trabalho é apresentar a dublagem com fins educacionais como uma ferramenta de produdo de conteúdo multimídia para o ensino de ciencias, assim como, validar o vídeo educativo com a temática de física dublado no projeto. A pesquisa foi realizada entre janeiro de 2019 e janeiro de 2021, com as seguintes etapas busca de vídeos educativos sobre física em canais de divulgado científica do   YouTube em ingles, classificado dos vídeos por um especialista, contato com os proprietários dos canais para solicitado de permissao de uso dos vídeos, dublagem dos vídeos, validado dos vídeos dublados por professores e por estudantes do nível médio. Para a validado foi utilizada escala Likert com cinco pontos, sendo considerados validados os itens com Índice de Validado de Conteúdo (IVC) superior a 0,78. O vídeo educativo dublado foi aprovado com IVC global médio de 0,910 por professores e 0,858 por estudantes, considerando-se tanto aspectos técnicos quanto educacionais. Deste modo, a metodologia desenvolvida ao longo do projeto mostrou-se efetiva para a seledo e dublagem de vídeos educacionais."
2,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2250-61012022000100091&lang=pt,Problematizando a física com brinquedos,2022,Physics teaching # Inquiry-based workshop # Toys # Ensino de fisica # Oficinas investigativas # Brinquedos,"Abstract The objective is to present a script of an investigative workshop taking the toy (shuttlecock) as resource, presenting a discussion around moments of Inquiry-based Education (""EI"") and the interactions of the instructors that implemented said workshop. Stemming from the presented data, we can conclude that, in order to develop investigative activities, the professor must have mastery of not only the content, but also of the workshop's moments and goals in the execution of the activity. Furthermore, for the systemization of this knowledge to happen, the teacher needs to consider information and questions made by the student.","O objetivo do trabalho é apresentar um roteiro de oficina investigativa adotando como recurso o brinquedo (peteca), apresentando discussao acerca dos momentos do Ensino por Investigado (EI) e as interapoes de monitoras que implementaram a presente oficina. A partir dos dados apresentados, podemos concluir que para o desenvolvimento de atividades investigativas o professor deve ter dominio nao só do conteúdo, mas também dos momentos da oficina e os objetivos que pretende alcanpar com o desenvolvimento da atividade. Além disso, para que ocorra a sistematizapao do conhecimento, o professor deve levar em considerapao as informapoes e questionamentos realizados pelo estudante."
3,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2250-61012022000100071&lang=pt,Discutindo eletrostática através de uma sequencia de ensino investigativa,2022,PhET Platform # Teacher training # Motivation # Mental map # Plataforma PhET # Formaçao docente # Motivaçao # Mapa mental,"Abstract Physics teaching includes strategies and resources to be used in the execution of activities that promote the understanding of phe nomena and, in order to carry out this process, teacher education must include experiences that promote conditions for the exercise of didactics. In this sense, an intervention with participants in initial training is proposed, in which the concepts of electrostatics are discussed with simulations of the PhET platform through an Investigative Teaching Sequence (ITS). Through mental maps, the learning results include the appropriation of knowledge of charge, force and electric field were presented. The reports presented show that the discussion through simulations in the sequence of activities provided experiences to be applied in elementary school, so that it can be concluded that the ITS conducted by simulation resources is a strategy that provides opportunities for interactive and motivating ex periences.","O ensino de física abrange estratégias e recursos a serem utilizados na execuçâo de atividades que promovam a compreensao de fenómenos e a efetivaçao desse processo. A formaçao docente deve contemplar experiências que proporcionem condiçoes para o exercício da didática. Nesse sentido, propoe-se uma intervençao com participantes em formaçao inicial, em que sao discutidos os conceitos de eletrostática com simulaçoes da plataforma PhET através de uma Sequência de Ensino Investigativa (SEI). Por meio de mapas mentais, foram apresentados os resultados de aprendizagem que incluem a apropriaçao de conhecimentos de carga, força e campo elétrico. Os relatos apresentados mostram que a discussao, a partir de simulaçoes na sequência de atividades, proporcionou experiências a serem aplicadas na escola básica, de forma que se pode concluir que a SEI conduzida por recursos de simulaçao é uma estratégia que oportuniza vivências interativas e motivadoras."
4,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2250-61012022000100111&lang=pt,Jornadas formativas mediadas por tecnologías digitais na formado inicial do professor de Física: reflexoes a partir da experiencia em uma disciplina de Metodologia do ensino,2022,Training journeys # Meaningful learning # Learning arcs # Hybrid learning # Digital technologies # Jornadas formativas # Aprendizagem significativa # Arcos de aprendizagem # Aprendizagem híbrida # Tecnologias digitais,"Abstract This paper presents a training journey, mediated by digital technologies, set in the discipline of Teaching Methodology, which is part of the initial training of the Physics teacher, through the distance education modality, at the University of Brasília. The aim was to redefine the offer of a hybrid learning experience, methodologically structured from notions of formative journeys in learning cycles and arcs. The approach chosen was that of an experience report members of the teaching team and other professionals who contributed to the development and evaluation of the model, carried out from a (re)analysis of the recordings of the synchronous meetings, the scrutiny of the results of the application and re-application of the profile survey questionnaire, the experiences and learning and the results of student performance. Despite the deleterious effects of the Covid-19 Pandemic, it was possible to clearly detect evidence of significant learning, materialized in the works presented at the end of the course. This result, by itself, justifies the model developed, induces the (re)application in different contexts and encourages the adoption of critical and disruptive reflections about the ways of teaching and learning in higher education and, in particular, in the area of Physics.","Este artigo apresenta uma jornada formativa, mediada por tecnologias digitais, ambientada na disciplina de Metodologia do Ensino integrante da formação inicial do professor de Física, pela modalidade EaD, na Universidade de Brasília. Teve como intuito ressignificar a oferta de uma experiência de aprendizagem híbrida, metodologicamente estruturada a partir de noções de jornadas formativas em ciclos e arcos de aprendizagem. A abordagem escolhida foi aquela de um relato de experiência de integrantes da equipe docente e outros profissionais que contribuíram com o desenvolvimento e a avaliação do modelo, realizada a partir de uma (re)análise das gravações dos encontros síncronos, do escrutínio dos resultados de aplicação e reaplicação do questionário de sondagem de perfil, das experiências e aprendizagens e dos resultados de desempenho dos estudantes. A despeito dos efeitos deletérios da Pandemia de Covid-19, foi possível detectar, claramente, indícios de aprendizagem significativa, concretizada nos trabalhos apresentados ao seu final. Esse resultado, por si só, justifica o modelo desenvolvido, induz a (re)aplicação em contextos diversos e anima a adoção de reflexões críticas e disruptivas acerca dos modos de ensinar e aprender na educação superior e, em particular, na área de Física."
5,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172022000100718&lang=pt,Levantamento de Recursos Didáticos para o ensino e aprendizagem de Cosmologia,2022,Ensino e Aprendizagem # Cosmologia # Recursos Didáticos # Teaching and Learning # Cosmology # Didactic Resources,"This work presents a Survey of Didactic Resources (Resource Letter) for the teaching of Cosmology in Portuguese language, inspired by similar initiatives published by the American Journal of Physics continuously published in the last five decades. The texts were collected from a selection of Theses and MSc works, journal articles, Proceedings of events and other specialized publications that feature full text availability. We selected 205 research works, later organized according to the Cosmology subjects and further classified according to the education level and thematic focus. The idea is that this collected material could act as a database for the Brazilian production in the last 30 years, to support the educational work in the area, as a useful basis for the construction of didactic sequences and ad hoc activities according to the specific needs of each professor. For this purpose, a selection of works for each subject and a critical appraisal of the literature and teaching in general were introduced.","Este trabalho consiste em um Levantamento de Recursos Didáticos (Resource Letter) para o ensino de Cosmologia do material em português, inspirado nas iniciativas similares do American Journal of Physics publicadas continuamente há mais de cinco décadas. O material foi coletado após consulta a Teses e Dissertações, artigos de periódicos, Atas de eventos, entre outras fontes especializadas que disponibilizam textos completos. Localizamos 205 pesquisas, que foram organizadas de acordo com ostemas e conteúdos de Cosmologia abordados, bem como classificados conforme o nível educacional a que se dedicaram e o foco temático de interesse. O desenvolvimento histórico da Cosmologia como disciplina científica é brevemente apresentado. A proposta é que esse material coletado e organizado possa ser uma base de consulta no que diz respeito ao que tem sido produzido no Brasil, no período aproximado dos últimos 30 anos, para auxiliar o trabalho educacional da área, servindo de base para a construção de sequências didaticas e atividades ad hocà medida das necessidades específicas do professor. Para estes fins, uma seleção de trabalhos para cada conteúdo e uma apreciação crítica da literatura e o ensino em geral foram introduzidos."
6,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172022000100614&lang=pt,As “piores” questões de Física do ENEM: Uma análise psicométrica das edições de 2009 a 2019,2022,Avaliação # Ensino de Física # Psicometria # Microdados # Evaluation # Physics Teaching # Psychometrics # Microdata,"The performance in the National High School Exam (ENEM) can be used as a selection criterion for public Higher Education Institutions (HEIs) and to obtain funding and scholarships in many private HEIs. Considering the potential for influence of the examination on the present and future of a person, regarding personal, professional and social aspects, it is expected that the test can perform a fair selection. One of the criteria for this idea is that the examination has minimal characteristics of validity and reliability. This article presents research that sought to verify psychometric indicators of the quality of the test. The Microdata of the ENEM was analyzed for the editions from 2009 to 2019, classifying the quality of the items as good, dubious and bad. As results, it was observed that most items were considered not adequate to measure the proficiency that is proposed to be measured in the Nature Sciences test. It is expected that the results presented can contribute to the reflection on the quality of large-scale examinations. It is suggested that works with scope in the pedagogical analysis of items considered not suitable can be performed in order to understand the points to be improved and the paths that must be traveled to promote the quality of the examination.","O desempenho no Exame Nacional do Ensino Médio (ENEM) pode ser usado como critério de seleção para Instituições de Ensino Superior (IES) públicas e para obter financiamento e bolsas em muitas IES privadas. Considerando o potencial de influência do exame no presente e no futuro de uma pessoa no que tange a aspectos pessoais, profissionais e sociais, espera-se que a prova consiga realizar uma seleção justa. Um dos critérios técnicos para esse ideário é a presença de características mínimas de validade e confiabilidade na avaliação. Esse artigo apresenta uma pesquisa que buscou verificar indicadores psicométricos de qualidade do exame. Analisou-se os Microdados do ENEM para as edições de 2009 a 2019, classificando a qualidade dos itens de Física como bons, duvidosos e ruins. Como resultados, observou-se que a maioria dos itens foram considerados não adequados para mensurar a proficiência que se propõe medir na prova de Ciências da Natureza. Espera-se que os resultados apresentados possam contribuir para a reflexão sobre a qualidade de exames em larga escala. Sugere-se que trabalhos com escopo na análise pedagógica dos itens possam ser realizados, a fim de compreender os pontos a se melhorar e os caminhos que devem ser percorridos para promover a qualidade do ENEM."
7,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172022000100613&lang=pt,Análise de uma abordagem histórica e conceitual para a gravitação universal: sentidos produzidos por estudantes em um curso de licenciatura,2022,história da ciência # recursos audiovisuais # teoria da gravitação universal # formação de professores # pandemia Covid19 # history of science # audiovisual resources # theory of universal gravitation # teacher training # Covid19 pandemic,"The paper analyzes the production of meanings by students of an undergraduate course in physics, in relation to historical, epistemological and conceptual aspects of the universal gravitation, based on a non-traditional activity in the discipline of Physics Teaching Practices I, in a public university in São Paulo. The activity included watching a video, addressing Theory of Universal Gravitation and its application in understanding the movement of the moon around Earth. The students responded an open questionnaire. The research was developed based on assumptions from the French Discourse Analysis. The articulated approach of historical and conceptual aspects, using graphic resources, made the video attractive, aspects highlighted by the students, showing its potential as a didactic resource. Significant learning was obtained through the manifestation of historical repetitions. It was found that the treatment of epistemological aspects and the history of science provided adequate notions about the nature of science. It was possible to work on conceptual aspects both qualitatively and quantitatively, with indications that students are able to solve quantitative problems and exercises without being submitted to a traditional expository class. As the investigation took place during the pandemic scenario, it was necessary to carry out all school period in remote mode.","Neste trabalho analisa-se a produção de sentidos por estudantes de um curso de licenciatura em física relativamente a aspectos históricos, epistemológicos e conceituais do tema gravitação universal, através de uma atividade na disciplina Práticas de Ensino de Física I em uma universidade pública paulista. A atividade incluiu um vídeo abordando a Teoria da Gravitação Universal e sua aplicação na compreensão do movimento da lua em órbita da Terra e, em seguida, os estudantes responderam por escrito a um questionário aberto. A investigação foi desenvolvida com base em pressupostos da vertente francesa da Análise do Discurso. Verificou-se que a abordagem articulada de aspectos históricos e conceituais utilizando recursos gráficos tornou o vídeo atrativo para os estudantes, explicitando seu potencial didático. Evidenciamos aprendizagens significativas pela manifestação de repetições históricas em suas respostas. O tratamento de aspectos epistemológicos e da história da ciência proporcionou a manifestação de noções adequadas sobre a natureza da ciência. Foram trabalhados aspectos conceituais qualitativa e quantitativamente, havendo indícios de que os estudantes conseguem resolver problemas quantitativos e exercícios de aplicação sem serem submetidos a uma aula expositiva tradicional. Tendo a investigação ocorrido durante o cenário pandêmico, impôs-se realizar todo o período letivo em modo remoto."
8,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172022000100452&lang=pt,Estimando a aceleração da expansão do Universo com o SimECosmo,2022,Cosmologia # Expansão Acelerada # Supernovas # Simulação # Cosmology # Accelerated Expansion # Supernovae # Simulation,"We present a review of how Type Ia Supernovae (SN Ia) are used in cosmology to estimate cosmological models parameters. In particular, we discuss how they helped with the paradigm shift observed at the turn of the last century to this one: the Universe is in an accelerated expansion rate. For this, we will discuss how to delimit cosmological parameters, especially the deceleration parameter, with the definition of a type of distance in cosmology, which is calculated knowing the luminosity of astrophysical objects. We developed a software to be used with this article by teachers in their classes or orientations, as well as by students in their individual studies. The SimECosmo, acronym for Simulador para o Ensino de Cosmologia, has a user interface and allows the visualization of how cosmological parameters affect model predictions, comparing with SN Ia data from the Union 2.1 and Pantheon Sample compilations.","Apresentamos uma revisão de como as Supernovas do Tipo Ia (SN Ia) são utilizadas em Cosmologia para estimar parâmetros dos modelos cosmológicos. Em específico, discutimos como elas ajudaram na mudança de paradigma observada na virada do século passado para este o Universo está em expansão acelerada. Para isso, discutiremos como delimitar parâmetros cosmológicos, em especial o parâmetro de desaceleração, com a definição de um tipo de distância em cosmologia, que é calculada conhecendo a luminosidade de objetos astrofísicos. Desenvolvemos um software para ser utilizado em conjunto com este artigo por professores em suas aulas ou orientações, bem como por estudantes em seus estudos individuais. O SimECosmo, acrônimo para Simulador para o Ensino de Cosmologia, possui interface com usuário e permite a visualização de como os parâmetros cosmológicos afetam as previsões dos modelos, comparando com dados de SN Ia das compilações Union 2.1 e Pantheon Sample."
9,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172022000100451&lang=pt,Estudo introdutório sobre resistência do ar: uma abordagem integrada entre modelagem e experimentação para graduandos,2022,Resistência do ar # modelos não lineares # abordagem integrada entre modelagem e experimentação # técnicas estatísticas # numéricas # Air resistance # non-linear models # integrated modelling and experimentation approach # statistical and numerical techniques.,"The influence of the air resistance over a body moving over a slant cable was studied using an integrated approach, including modelling, analytical solutions to ordinary differential equations, experimental practice and the estimation of error margins for the experimental data. The proposed setup allows for three different configurations for the moving body, one without coating, with a small transverse section area, and two with coating, with higher transverse section area, and this allows us to experimentally demonstrate not only the dependence of air resistance with the transverse area, but also with the format of the moving body. As a result of our methods, we were able to determine properties such as friction coefficient, air resistance coefficient per mass unit and limiting speed. The proposed experiment involves only low cost materials and can be adapted to be used as an activity in college education.","A influência da resistência do ar sobre um corpo deslocando-se sobre um cabo inclinado foi estudada por uma abordagem integrada englobando modelagem, solução analítica de equações diferenciais ordinárias, experimentação e estimativa de erros para os dados experimentais. O sistema utilizado permite realizar o experimento com três configurações diferentes para o corpo que se desloca, uma sem revestimento, com baixa área de seção transversal em relação à direção de deslocamento, e duas com revestimento, com elevada área de seção transversal, permitindo evidenciar experimentalmente não apenas a dependência da força resistiva com esta área, mas também com o formato do corpo. Como resultado dos procedimentos adotados, foi possível determinar propriedades como coeficiente de atrito, coeficiente de resistência do ar por unidade de massa e velocidade limite. O experimento proposto envolve materiais de baixo custo e pode servir, com as devidas adaptações, como uma atividade de ensino médio."
10,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172022000100459&lang=pt,O ensino do movimento retrógrado de Marte utilizando o software Stellarium e videoanálise,2022,Ensino de física # Astronomia # Videoanálise # Fidget spinner # Stellarium # Physics teaching # Astronomy # Video analysis # Fidget spinner # Stellarium,"This work presents a proposal of a teaching activity that uses a simulation and a ludic experiment as a form of didactic transposition for the teaching of the apparent retrograde motion of Mars. This simulation was performed by a free software called Stellarium. In turn, the experiment used two fidget spinners coupled in order to make an analogy with the orbital movement of Earth and Mars. Both in the simulation and experiment it was made a video analysis using a free software called Tracker. The activity was ordered in the following steps: 1) Present the simulation and its video analysis to illustrate the relative movement of Mars considering the referential frame of the Earth; 2) Present the video analysis of the coupled fidget spinners movement in three different references frames, similar to the references frames of the Sun (heliocentric model), the Earth (geocentric model) and the Mars; 3) Present the video analysis of the center of mass of the fidget spinners and qualitatively describe the use of the heliocentric model, in the description of the movements of the planets of the solar system.","Neste trabalho é apresentada uma proposta de atividade que utiliza uma simulação e um experimento lúdico, como forma de transposição didática, para o ensino do movimento retrógrado aparente de Marte. A simulação desse movimento foi realizada com o software livre Stellarium. Por sua vez, o experimento utilizou dois fidget spinners acoplados de maneira a fazer uma analogia com o movimento orbital da Terra e de Marte. Tanto na simulação quanto no experimento foi realizada a videoanálise utilizando o software livre Tracker. A atividade foi ordenada nas seguintes etapas 1) Apresentar a simulação e sua videoanálise para ilustrar o movimento relativo de Marte no referencial da Terra; 2) Apresentar a videoanálise do movimento dos fidget spinners acoplados em três referenciais distintos, análogos aos referenciais do Sol (modelo heliocêntrico), da Terra (modelo geocêntrico) e de Marte; 3) Apresentar a videoanálise do movimento do centro de massa dos fidget spinners e discorrer, qualitativamente, sobre a adequação do modelo heliocêntrico, na descrição dos movimentos dos planetas do sistema solar."
